1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
277	-1.042657	15.155165	40.406070	0.000962	2.5
278	-1.052469	16.018862	39.463345	0.000930	2.7
279	-1.049007	17.018715	38.425500	0.001367	2.8
280	-1.055646	16.072634	39.406106	0.001551	2.8
281	-1.048555	15.215491	40.338764	0.000720	2.7
282	-1.052200	14.269626	41.420574	0.001610	2.7
283	-1.050929	15.264572	40.284168	0.001271	2.7
284	-1.046992	14.318491	41.363266	0.001631	2.8
285	-1.043788	15.061588	40.510920	0.002446	2.9
286	-1.054788	14.115507	41.602364	0.001372	2.8
287	-1.043649	13.169426	42.754248	0.001697	2.8
288	-1.047386	14.169426	41.538583	0.000842	2.8
289	-1.046329	13.223577	42.686599	0.001146	2.8
290	-1.036581	13.859772	41.907564	0.003035	3.2
291	-1.044464	12.913691	43.076648	0.000656	3.0
292	-1.042988	13.890174	41.871048	0.000790	2.9
293	-1.053774	12.949549	43.031150	0.000794	2.8
294	-1.046959	12.009300	44.256864	0.000927	2.7
295	-1.045028	12.488361	43.623757	0.001019	3.0
296	-1.044773	11.542294	44.891983	0.001322	2.9
297	-1.045934	11.640115	44.757444	0.001062	3.0
298	-1.047934	10.698983	46.086278	0.000676	2.9
299	-1.041757	10.116566	46.948886	0.001227	2.8
300	-1.055432	10.939814	45.738779	0.001158	3.2
301	-1.046889	11.939814	44.350223	0.000806	3.5
302	-1.050241	10.993887	45.661477	0.001994	3.3
303	-1.044021	11.913043	44.386298	0.002615	3.3
304	-1.043339	10.966962	45.699937	0.001356	3.2
305	-1.047945	10.020880	47.093703	0.001254	3.2
306	-1.054394	9.074801	48.575154	0.000970	3.3
307	-1.044047	10.074749	47.012065	0.000761	3.3
308	-1.040715	9.230949	48.324256	0.001012	3.3
309	-1.057028	8.679187	49.222646	0.001456	3.1
310	-1.047302	9.679187	47.618215	0.001942	3.0
311	-1.045763	8.733105	49.133385	0.000942	3.2
312	-1.049389	8.645346	49.278835	0.001996	3.0
313	-1.056391	7.699265	50.903329	0.000773	2.9
314	-1.051735	7.782128	50.756780	0.001308	2.7
315	-1.046138	8.781988	49.052740	0.001061	2.7
316	-1.047070	9.691779	47.598679	0.000624	2.6
317	-1.038197	10.649836	46.157842	0.000808	2.9
318	-1.056110	9.788281	47.449486	0.000928	2.9
319	-1.049391	10.758116	46.000465	0.000650	2.8
320	-1.057420	9.820758	47.399487	0.001078	2.8
321	-1.040506	8.879973	48.891882	0.000882	2.7
322	-1.039909	7.933936	50.490474	0.002283	2.7
323	-1.053701	8.933936	48.803743	0.001081	2.9
324	-1.040941	9.933936	47.226067	0.002154	3.3
325	-1.038950	10.933896	45.747257	0.000863	2.9
326	-1.039350	11.319599	45.201307	0.000489	2.7
327	-1.034390	10.442651	46.461990	0.000635	2.7
328	-1.040076	10.453446	46.446044	0.001542	2.7
329	-1.045090	10.168988	46.869925	0.001369	2.7
330	-1.042810	11.168988	45.412934	0.001007	2.7
331	-1.042502	12.168900	44.043913	0.000871	2.6
332	-1.052638	11.522408	44.919433	0.000806	2.7
333	-1.044992	10.598127	46.233377	0.001836	2.6
334	-1.044306	9.652050	47.660373	0.000825	2.6
335	-1.047911	8.708214	49.174552	0.001474	2.7
336	-1.046526	7.797004	50.730560	0.001486	2.6
337	-1.050225	8.797004	49.028021	0.001567	2.6
338	-1.047112	7.880485	50.583920	0.001330	2.7
339	-1.050901	7.744902	50.822511	0.001484	2.7
340	-1.052126	8.744900	49.113902	0.001083	2.7
341	-1.045790	9.723870	47.548962	0.001010	2.8
342	-1.049828	9.976964	47.160467	0.002332	2.7
343	-1.048057	10.976964	45.685641	0.001865	2.7
344	-1.053658	11.976964	44.300261	0.000566	2.7
345	-1.046417	12.974095	43.000060	0.001149	2.7
346	-1.049373	13.944222	41.806286	0.001039	2.7
347	-1.043986	13.042913	42.913135	0.001025	2.7
348	-1.045023	12.099716	44.135971	0.002413	2.8
349	-1.040219	11.153635	45.434618	0.001221	2.9
350	-1.049803	10.207553	46.812005	0.001569	2.9
351	-1.038022	11.207157	45.359114	0.001373	3.3
352	-1.045774	12.199805	44.002913	0.000661	3.1
353	-1.048310	11.255892	45.290582	0.001450	2.9
354	-1.030439	12.255884	43.928711	0.000925	3.0
355	-1.046446	11.309803	45.215012	0.001067	2.8
356	-1.042465	10.374917	46.562295	0.001088	3.4
357	-1.041788	9.921557	47.244972	0.000783	3.5
358	-1.055694	9.250690	48.292720	0.001190	3.6
359	-1.052564	9.991045	47.139040	0.001812	3.3
360	-1.048903	9.044964	48.623394	0.002604	3.0
361	-1.041328	8.098882	50.204269	0.001195	2.9
362	-1.048154	9.098882	48.536291	0.001414	2.8
363	-1.054957	9.269998	48.261916	0.001993	2.9
364	-1.051616	10.257904	46.736600	0.001851	3.0
365	-1.045242	9.311822	48.195325	0.001249	3.2
366	-1.052117	8.365741	49.748043	0.002550	2.9
367	-1.037357	9.365741	48.109748	0.001410	2.8
368	-1.042610	10.365741	46.575917	0.000990	2.8
369	-1.051533	11.365740	45.136867	0.001106	2.9
370	-1.063324	10.425357	46.487558	0.002547	3.1
371	-1.045590	11.425357	45.053879	0.001117	2.9
372	-1.050476	10.541325	46.316638	0.001396	2.9
373	-1.043018	9.606878	47.730713	0.000973	2.9
374	-1.042104	10.606741	46.220776	0.001246	2.9
375	-1.040704	11.396358	45.094208	0.001314	3.2
376	-1.047100	12.384049	43.760063	0.000547	3.1
377	-1.045810	13.111098	42.827356	0.001102	3.0
378	-1.045533	12.569780	43.517953	0.000706	3.0
379	-1.037043	13.568890	42.260197	0.001040	2.9
380	-1.037860	12.627082	43.443796	0.000871	3.0
381	-1.042493	13.624232	42.192651	0.001785	3.2
382	-1.045749	13.174408	42.748015	0.000977	2.9
383	-1.047245	14.174408	41.532699	0.001081	2.8
384	-1.053147	15.174136	40.384879	0.000821	2.7
385	-1.040200	15.901827	39.588503	0.000824	2.6
386	-1.051502	14.956169	40.629693	0.001390	3.0
387	-1.053363	15.956166	39.530294	0.000622	2.9
388	-1.037162	15.014060	40.564383	0.000932	3.0
389	-1.047329	15.965199	39.520634	0.001079	2.9
390	-1.043166	15.096732	40.471479	0.000442	2.8
391	-1.054550	16.087367	39.390451	0.001679	2.9
392	-1.045140	15.819356	39.677178	0.003294	3.1
393	-1.036863	15.089762	40.479296	0.001062	2.9
394	-1.043939	14.143726	41.568959	0.001478	2.9
395	-1.042341	15.143640	40.418954	0.001115	2.8
396	-1.049520	14.197558	41.505382	0.001119	2.7
397	-1.051756	13.361520	42.515235	0.001036	2.8
398	-1.043931	13.725955	42.069055	0.001600	2.8
399	-1.054495	14.725955	40.891507	0.001553	2.8
400	-1.051228	15.725953	39.778086	0.000582	2.7
401	-1.051073	14.910607	40.681243	0.001040	2.7
402	-1.050472	14.027631	41.706735	0.000858	2.7
403	-1.043718	13.081711	42.864284	0.002018	2.8
404	-1.041617	14.078447	41.646317	0.001727	2.8
405	-1.051199	13.132366	42.800670	0.001096	2.7
406	-1.048825	14.132366	41.582401	0.001359	2.8
407	-1.045493	15.112978	40.453272	0.000438	2.7
408	-1.047248	16.110713	39.365672	0.000796	2.6
409	-1.055507	16.990909	38.453624	0.001408	2.8
410	-1.045539	16.044867	39.435642	0.000941	2.7
411	-1.054554	17.044727	38.399227	0.001428	2.8
412	-1.047563	18.044710	37.415776	0.001434	2.7
413	-1.046694	17.098710	38.344818	0.000964	2.7
414	-1.049257	16.152629	39.321258	0.001790	2.8
415	-1.044854	15.206548	40.348727	0.001649	2.8
416	-1.047381	16.206548	39.264275	0.001903	2.7
417	-1.053961	15.766242	39.734497	0.001639	2.6
418	-1.048122	14.825193	40.778234	0.000989	2.6
419	-1.034596	15.825160	39.670924	0.001189	2.8
420	-1.049081	14.879940	40.716014	0.000867	3.0
421	-1.055088	15.879930	39.612010	0.001245	3.1
422	-1.048576	16.879771	38.566446	0.000859	3.2
423	-1.040257	15.986878	39.497470	0.001603	3.0
424	-1.056339	15.040804	40.534282	0.000850	2.9
425	-1.049379	16.040696	39.440083	0.001405	3.1
426	-1.042892	15.094872	40.473565	0.001415	3.7
427	-1.048712	16.094857	39.382498	0.001754	3.5
428	-1.049576	15.149443	40.412465	0.001105	3.0
429	-1.043461	16.149419	39.324656	0.001775	3.0
430	-1.046512	15.203338	40.352305	0.001433	3.0
431	-1.049000	16.201058	39.270069	0.002438	3.1
432	-1.047239	15.254977	40.294830	0.001017	3.1
433	-1.051247	16.254792	39.213429	0.001032	3.1
434	-1.050252	16.243672	39.225137	0.001132	3.2
435	-1.062706	17.243537	38.199607	0.000913	3.0
436	-1.047646	16.298752	39.167212	0.001259	3.0
437	-1.043256	17.298751	38.144537	0.001604	3.2
438	-1.044720	18.298751	37.173907	0.001443	3.0
439	-1.048599	19.298751	36.251449	0.001028	2.9
440	-1.052966	18.352731	37.122916	0.001714	2.8
441	-1.054524	19.352631	36.203045	0.001745	3.2
442	-1.047311	20.352611	35.327591	0.001396	3.0
443	-1.065744	19.406530	36.154753	0.001406	3.1
444	-1.044361	20.405624	35.282359	0.000785	3.0
445	-1.044962	21.405623	34.450340	0.000307	3.0
446	-1.047220	22.262958	33.767643	0.000632	3.2
447	-1.042866	22.035459	33.946149	0.000991	2.9
448	-1.049785	21.253116	34.574683	0.001176	3.1
449	-1.044984	22.107049	33.889773	0.001172	3.0
450	-1.043260	23.106977	33.121475	0.001502	2.9
451	-1.049886	24.106977	32.387187	0.001064	3.1
452	-1.041911	25.106977	31.684752	0.001409	3.1
453	-1.058816	24.161066	32.348398	0.000944	2.9
454	-1.040197	23.215416	33.040244	0.000544	2.9
455	-1.044033	22.688489	33.438742	0.000687	2.9
456	-1.043948	22.612666	33.496877	0.000926	2.9
457	-1.042908	21.802507	34.130901	0.001256	2.8
458	-1.044998	22.802439	33.351753	0.000681	2.8
459	-1.044912	23.802001	32.607654	0.001290	2.8
460	-1.043029	24.797528	31.898842	0.000848	2.8
461	-1.047177	23.976161	32.481388	0.001997	2.8
462	-1.058099	24.330378	32.227574	0.001838	2.8
463	-1.050456	25.330378	31.531971	0.000804	2.8
464	-1.045449	26.313389	30.876844	0.001599	2.8
465	-1.038319	25.367311	31.506854	0.000742	2.8
466	-1.043654	24.464072	32.132804	0.000697	2.8
467	-1.055820	23.840378	32.579746	0.000821	2.6
468	-1.047616	24.499231	32.107974	0.001034	2.7
469	-1.046608	23.732736	32.658144	0.001896	2.8
470	-1.049342	24.732734	31.944036	0.001053	2.6
471	-1.057502	23.787660	32.618094	0.001239	2.9
472	-1.050557	22.844424	33.319816	0.001126	2.7
473	-1.040759	21.989138	33.982726	0.001592	2.8
474	-1.051222	22.989138	33.210201	0.002012	2.8
475	-1.044244	22.043057	33.940157	0.001552	2.8
476	-1.056242	23.043057	33.169544	0.000547	2.7
477	-1.052788	22.097020	33.897660	0.001974	2.8
478	-1.037717	21.150990	34.658453	0.000615	2.7
479	-1.053159	20.207636	35.451878	0.000681	2.9
480	-1.056875	21.170518	34.642404	0.001170	2.8
481	-1.051627	22.138174	33.865322	0.000458	2.7
482	-1.054064	21.195105	34.622218	0.000667	2.7
483	-1.042483	20.553729	35.156607	0.000784	2.9
484	-1.048644	20.997526	34.785099	0.001167	2.7
485	-1.036126	20.425275	35.265623	0.000502	2.9
486	-1.041631	20.456033	35.239458	0.000619	2.8
487	-1.055773	19.675760	35.915448	0.000565	2.7
488	-1.049761	19.032431	36.492616	0.001373	2.9
489	-1.049873	20.021193	35.613009	0.001242	3.1
490	-1.055137	19.075112	36.453751	0.001466	3.1
491	-1.052226	18.129499	37.334701	0.001743	2.9
492	-1.044346	19.129499	36.404345	0.001112	2.7
493	-1.045783	20.129480	35.519246	0.000852	2.9
494	-1.054148	19.193694	36.346202	0.001156	3.0
495	-1.049143	18.251907	37.218271	0.001344	2.8
496	-1.042430	17.305845	38.137473	0.000727	3.0
497	-1.045259	18.305808	37.167233	0.002520	3.0
498	-1.050790	19.302486	36.248089	0.002061	2.9
499	-1.060690	20.302486	35.370465	0.002005	2.9
500	-1.048251	19.356405	36.199660	0.002999	3.0
501	-1.041588	18.835081	36.673406	0.000656	3.1
502	-1.049187	19.835081	35.775321	0.000847	3.1
503	-1.055828	20.445590	35.248337	0.002031	2.8
504	-1.048013	19.504327	36.067459	0.001704	2.8
505	-1.045387	18.558245	36.930054	0.001068	2.9
506	-1.041593	19.558245	36.019510	0.001900	3.0
507	-1.054993	20.558245	35.152787	0.000647	3.1
508	-1.045558	21.283915	34.549500	0.000775	3.0
509	-1.045856	20.353125	35.327152	0.000675	2.9
510	-1.048263	19.410883	36.150859	0.000690	2.8
511	-1.047679	18.636144	36.857473	0.001250	3.0
512	-1.044202	19.043895	36.482168	0.001264	3.3
513	-1.048725	20.043778	35.593413	0.001567	3.0
514	-1.047254	19.099082	36.431959	0.001151	2.9
515	-1.057434	18.153537	37.311779	0.001307	2.8
516	-1.047842	17.207455	38.235682	0.001172	2.9
517	-1.042598	17.988103	37.470100	0.001421	3.3
518	-1.040266	17.042022	38.401958	0.000892	3.1
519	-1.052128	18.042020	37.418354	0.000904	2.9
520	-1.050945	17.196953	38.246195	0.000481	2.8
521	-1.048875	17.390683	38.053195	0.000962	2.8
522	-1.049007	17.722036	37.727564	0.001630	3.0
523	-1.050356	16.776213	38.672170	0.001090	3.3
524	-1.050361	17.776213	37.674853	0.001306	3.2
525	-1.054407	16.830583	38.616590	0.001686	2.9
526	-1.051713	17.830583	37.622101	0.000759	2.8
527	-1.046203	16.884502	38.561630	0.001402	2.7
528	-1.041646	15.948033	39.538996	0.000566	3.9
529	-1.040086	15.445715	40.083947	0.001406	3.1
530	-1.044189	16.443554	39.015745	0.000656	2.9
531	-1.046867	15.497733	40.026818	0.001443	2.8
532	-1.044719	14.576639	41.063129	0.001136	2.8
533	-1.049860	15.525146	39.996777	0.000962	2.9
534	-1.051786	14.579187	41.060189	0.001486	2.8
535	-1.035808	15.579183	39.937691	0.000806	2.7
536	-1.045929	16.291351	39.174985	0.001532	2.7
537	-1.035909	17.155091	38.288157	0.001066	2.6
538	-1.053892	16.209013	39.261674	0.001133	2.6
539	-1.055995	15.262935	40.285987	0.001564	2.8
540	-1.050069	14.316857	41.365180	0.000525	2.7
541	-1.048090	13.377758	42.495153	0.000955	2.7
542	-1.046749	12.482600	43.631263	0.000458	2.6
543	-1.053164	11.598573	44.814481	0.001464	2.7
544	-1.043578	12.134600	44.089505	0.000996	2.6
545	-1.054032	13.134302	42.798242	0.000738	2.8
546	-1.043999	14.129368	41.585949	0.000736	2.7
547	-1.055653	13.296555	42.595769	0.001109	2.7
548	-1.051351	12.534822	43.563319	0.001309	2.6
549	-1.041946	13.534572	42.302193	0.001454	2.7
550	-1.052593	12.588491	43.493711	0.001065	2.7
551	-1.047414	13.585019	42.240489	0.001326	2.9
552	-1.043674	12.639845	43.427315	0.001969	2.9
553	-1.051294	11.727918	44.637369	0.000646	2.7
554	-1.049911	10.878694	45.826473	0.002520	2.7
555	-1.063111	11.878693	44.432671	0.002188	2.6
556	-1.045519	12.878693	43.121148	0.000680	2.7
557	-1.048956	11.940697	44.349035	0.001188	2.8
558	-1.046592	12.258234	43.925607	0.001971	2.9
559	-1.052072	13.177299	42.744400	0.000931	2.9
560	-1.037059	12.231225	43.961308	0.000555	2.8
561	-1.044214	11.451558	45.017504	0.000889	2.9
562	-1.043777	12.304490	43.864600	0.000770	3.0
563	-1.049621	13.295284	42.597348	0.001585	3.2
564	-1.049879	14.279042	41.409518	0.001142	3.1
565	-1.045160	15.279042	40.268101	0.000696	2.9
566	-1.049671	16.273380	39.193873	0.001112	2.9
567	-1.043825	15.456345	40.072260	0.000594	3.1
568	-1.043131	16.455259	39.003552	0.000625	3.1
569	-1.048097	15.567089	39.950901	0.000499	3.1
570	-1.047637	16.323072	39.141690	0.000819	3.1
571	-1.043382	16.756829	38.692024	0.002454	3.0
572	-1.051361	17.756829	37.693696	0.001532	3.0
573	-1.037056	16.810748	38.636848	0.000455	2.9
574	-1.049424	16.296783	39.169280	0.000857	3.1
575	-1.054811	16.282214	39.184586	0.001580	3.1
576	-1.039435	17.281877	38.161350	0.001394	3.0
577	-1.046697	16.335796	39.128351	0.001827	3.1
578	-1.037673	17.090053	38.353534	0.001498	2.9
579	-1.045567	16.143976	39.330418	0.000644	2.9
580	-1.046783	16.758153	38.690667	0.000902	3.0
581	-1.046185	17.648372	37.799474	0.000787	3.1
582	-1.049526	16.703860	38.746381	0.001235	3.1
583	-1.044278	15.759186	39.742124	0.000852	3.3
584	-1.043903	16.296681	39.169386	0.000943	3.1
585	-1.046556	15.352225	40.187035	0.001509	3.3
586	-1.047834	16.066099	39.413053	0.001406	3.3
587	-1.056097	15.120017	40.445388	0.002642	3.5
588	-1.049654	14.173936	41.533257	0.002035	3.2
589	-1.041978	15.173936	40.385103	0.001081	4.1
590	-1.041791	16.173936	39.298720	0.000696	3.5
591	-1.049299	17.173196	38.269998	0.002573	3.2
592	-1.046938	17.547422	37.898465	0.001187	3.4
593	-1.050349	18.547422	36.940161	0.000521	3.1
594	-1.049450	17.612861	37.834237	0.001115	3.4
595	-1.047803	16.686191	38.764547	0.002516	3.2
596	-1.057280	15.740109	39.762759	0.001257	3.0
597	-1.051070	16.740109	38.709165	0.001174	3.2
598	-1.046773	15.794243	39.704258	0.002311	3.3
599	-1.043728	16.794242	38.653721	0.001513	3.2
600	-1.050763	15.848161	39.646161	0.001333	2.9
601	-1.047563	14.902080	40.690905	0.002109	2.9
602	-1.048076	13.956001	41.792198	0.000982	2.8
603	-1.047192	14.956001	40.629884	0.001315	3.3
604	-1.056099	15.942641	39.544766	0.001773	3.1
605	-1.044570	16.942640	38.502543	0.001457	3.1
606	-1.045549	15.996708	39.486976	0.001722	3.2
607	-1.044256	15.050627	40.523238	0.001436	3.4
608	-1.052302	14.104546	41.615355	0.001419	3.2
609	-1.046884	13.279168	42.617374	0.000909	3.1
610	-1.048909	12.334884	43.824605	0.001150	3.1
611	-1.046447	13.334872	42.548233	0.001440	3.4
612	-1.041304	14.333660	41.345509	0.001494	3.2
613	-1.050656	13.387578	42.483018	0.001076	3.6
