1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.055801	0.000000	795.099978	0.000541	635.0
1	-1.057652	0.000000	795.099978	0.000943	2.3
2	-1.050885	0.000000	795.099978	0.000763	2.2
3	-1.059148	1.000000	758.959070	0.000609	2.1
4	-1.048676	1.834503	731.222382	0.000878	2.2
5	-1.045824	0.965765	760.141971	0.000508	2.1
6	-1.060925	0.097013	791.443772	0.000706	2.1
7	-1.051445	0.000000	795.099978	0.000744	2.1
8	-1.052475	0.000000	795.099978	0.000669	2.1
9	-1.054484	0.501507	776.554834	0.000682	2.1
10	-1.059838	0.000000	795.099978	0.000381	2.1
11	-1.051042	0.000000	795.099978	0.000424	2.1
12	-1.050041	0.000000	795.099978	0.000514	2.1
13	-1.046471	0.979673	759.660946	0.000823	2.1
14	-1.053937	1.979644	726.603932	0.000263	2.1
15	-1.051471	1.399560	745.420864	0.000146	2.1
16	-1.050394	1.447221	743.838162	0.000314	2.1
17	-1.053618	1.960650	727.204996	0.000465	2.1
18	-1.056274	2.952403	697.094953	0.001322	2.1
19	-1.051297	2.083652	723.330070	0.000459	2.1
20	-1.051985	3.062948	693.892517	0.000376	2.1
21	-1.050612	3.960237	668.947953	0.000601	2.1
22	-1.050372	3.135947	691.793842	0.000453	2.1
23	-1.051474	3.493832	681.685886	0.000450	2.3
24	-1.049814	4.291897	660.175849	0.000534	2.3
25	-1.057609	3.634544	677.792114	0.000558	2.2
26	-1.054459	2.789816	701.859134	0.000373	2.1
27	-1.048263	1.921455	728.448490	0.000983	2.1
28	-1.048990	1.052704	757.145229	0.000422	2.1
29	-1.057880	0.183953	788.195662	0.000498	2.2
30	-1.050190	1.176719	752.911163	0.000527	2.1
31	-1.067582	2.173702	720.519308	0.000575	2.2
32	-1.044201	1.304984	748.581550	0.000447	2.2
33	-1.044091	1.381478	746.023086	0.000530	2.2
34	-1.050270	1.890902	729.420785	0.000634	2.1
35	-1.053214	2.203221	719.602655	0.000574	2.1
36	-1.051876	1.334473	747.593183	0.000783	2.1
37	-1.059166	2.334473	715.555042	0.000543	2.1
38	-1.055426	1.465724	743.225528	0.000614	2.2
39	-1.056045	0.710263	769.087852	0.000819	2.2
40	-1.048950	0.000000	795.099978	0.000402	2.2
41	-1.050949	0.000000	795.099978	0.000511	2.2
42	-1.039879	0.999162	758.987997	0.000360	2.1
43	-1.040602	1.507989	741.829928	0.000219	2.2
44	-1.052065	0.712409	769.011823	0.000326	2.2
45	-1.052861	0.000000	795.099978	0.000176	2.1
46	-1.048414	0.000000	795.099978	0.000617	2.1
