1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.031909	0.000000	1178367.987612	0.000091	2534.0
1	-1.031083	0.000000	1178367.987612	0.000077	45.8
2	-1.027791	1.000000	1124805.806356	0.000114	44.4
3	-1.028418	0.136858	1170738.232589	0.000066	44.8
4	-1.032980	1.136858	1117851.859333	0.000086	44.2
5	-1.027291	0.274509	1163163.283087	0.000075	45.7
6	-1.029061	0.000000	1178367.987612	0.000073	45.9
7	-1.028414	0.000000	1178367.987612	0.000079	48.8
8	-1.029686	1.000000	1124805.806356	0.000087	45.2
9	-1.033650	2.000000	1075901.206080	0.000089	46.5
10	-1.030164	1.136858	1117851.854844	0.000083	46.7
11	-1.031480	2.136858	1069537.089875	0.000066	45.8
12	-1.033962	1.273733	1110982.487599	0.000094	44.5
13	-1.034688	0.411007	1155747.945794	0.000082	44.6
14	-1.036897	0.000000	1178367.987612	0.000105	45.0
15	-1.032315	1.000000	1124805.806357	0.000096	47.1
16	-1.034927	2.000000	1075901.206081	0.000089	47.3
17	-1.033692	3.000000	1031071.989161	0.000090	44.8
18	-1.031169	4.000000	989829.109594	0.000095	43.5
19	-1.034892	3.136858	1025225.726263	0.000090	44.5
20	-1.029300	2.273716	1063247.820335	0.000097	46.9
21	-1.035143	3.273716	1019445.387154	0.000079	45.8
22	-1.031760	4.273716	979109.197979	0.000077	45.0
23	-1.036404	5.273716	941843.468215	0.000095	45.9
24	-1.036127	6.268099	907497.352716	0.000095	46.4
25	-1.038084	5.404957	937162.203424	0.000116	48.1
26	-1.033961	6.404957	902965.390002	0.000097	45.6
27	-1.033242	7.404957	871176.382609	0.000091	45.4
28	-1.035260	6.541815	898478.466819	0.000081	44.8
29	-1.038230	7.541815	866999.094086	0.000093	45.8
30	-1.035045	8.536909	837790.028504	0.000080	47.2
31	-1.037246	7.673767	863009.309642	0.000096	45.2
32	-1.036753	8.673767	833926.068752	0.000091	45.8
33	-1.032670	7.810625	858909.790763	0.000092	44.2
34	-1.032945	7.399165	871354.060781	0.000076	45.3
35	-1.034635	8.399165	841715.325771	0.000083	45.4
36	-1.036478	9.399165	814026.561097	0.000098	46.1
37	-1.033160	8.536023	837815.157857	0.000102	44.7
38	-1.036336	9.536023	810378.213664	0.000082	44.7
39	-1.036487	8.672881	833950.966838	0.000100	44.4
40	-1.034107	9.672881	806762.423031	0.000096	46.3
41	-1.036106	8.809739	830122.257199	0.000090	45.1
42	-1.037973	7.946597	854875.198459	0.000090	44.7
43	-1.036311	7.083455	881149.697813	0.000095	44.4
44	-1.037368	6.220313	909090.498725	0.000088	45.7
45	-1.036350	7.220313	876876.451166	0.000100	46.7
46	-1.037182	8.219734	846884.098134	0.000083	45.3
47	-1.039856	9.219734	818859.890202	0.000108	45.6
48	-1.037191	8.356592	842935.995492	0.000098	43.9
49	-1.042450	9.356592	815168.187847	0.000119	44.6
50	-1.037549	8.493450	839024.533482	0.000122	47.3
51	-1.035609	9.493450	811509.623028	0.000096	44.6
52	-1.038503	10.493450	785742.054702	0.000107	43.4
53	-1.038592	11.493450	761560.502230	0.000094	44.0
54	-1.037447	12.493450	738822.906878	0.000098	44.6
55	-1.041348	13.493426	717404.176189	0.000100	46.3
56	-1.039339	12.630284	735816.798046	0.000115	44.9
57	-1.041330	13.630284	714569.013812	0.000092	45.7
58	-1.036242	12.767142	732834.538178	0.000095	44.7
59	-1.035825	13.767142	711756.172198	0.000106	44.0
60	-1.039014	12.904000	729876.354881	0.000092	45.6
